Date,Root,Ticker,Price
2013-09-27,FV,FVH2014,120.1015625
2013-09-27,FV,FVM2014,120.1015625
2013-09-27,TY,TYH2014,125.0
2013-09-27,TY,TYM2014,125.0
2013-09-30,TU,TUH2014,109.9765625
2013-09-30,TU,TUM2014,109.796875
2013-09-30,FV,FVH2014,120.171875
2013-09-30,FV,FVM2014,120.171875
2013-09-30,TY,TYH2014,125.078125
2013-09-30,TY,TYM2014,125.078125
2013-10-01,TU,TUH2014,109.9453125
2013-10-01,TU,TUM2014,109.765625
2013-10-01,FV,FVH2014,120.0
2013-10-01,FV,FVM2014,120.0
2013-10-01,TY,TYH2014,124.78125
2013-10-01,TY,TYM2014,124.78125
2013-10-02,TU,TUH2014,109.953125
2013-10-02,TU,TUM2014,109.7734375
2013-10-02,FV,FVH2014,120.1875
2013-10-02,FV,FVM2014,120.1875
2013-10-02,TY,TYH2014,125.046875
2013-10-02,TY,TYM2014,125.046875
2013-10-03,TU,TUH2014,109.9453125
2013-10-03,TU,TUM2014,109.765625
2013-10-03,FV,FVH2014,120.296875
2013-10-03,FV,FVM2014,120.296875
2013-10-03,TY,TYH2014,125.234375
2013-10-03,TY,TYM2014,125.234375
2013-10-04,TU,TUH2014,109.921875
2013-10-04,TU,TUM2014,109.7421875
2013-10-04,FV,FVH2014,120.0859375
2013-10-04,FV,FVM2014,120.0859375
2013-10-04,TY,TYH2014,124.859375
2013-10-04,TY,TYM2014,124.859375
2013-10-07,TU,TUH2014,109.859375
2013-10-07,TU,TUM2014,109.6796875
2013-10-07,FV,FVH2014,120.0859375
2013-10-07,FV,FVM2014,120.0859375
2013-10-07,TY,TYH2014,124.96875
2013-10-07,TY,TYM2014,124.96875
2013-10-08,TU,TUH2014,109.78125
2013-10-08,TU,TUM2014,109.6015625
2013-10-08,FV,FVH2014,119.9921875
2013-10-08,FV,FVM2014,119.9921875
2013-10-08,TY,TYH2014,124.9375
2013-10-08,TY,TYM2014,124.9375
2013-10-09,TU,TUH2014,109.8515625
2013-10-09,TU,TUM2014,109.671875
2013-10-09,FV,FVH2014,120.0625
2013-10-09,FV,FVM2014,120.0625
2013-10-09,TY,TYH2014,124.96875
2013-10-09,TY,TYM2014,124.96875
2013-10-10,TU,TUH2014,109.859375
2013-10-10,TU,TUM2014,109.6796875
2013-10-10,FV,FVH2014,120.0078125
2013-10-10,FV,FVM2014,120.0078125
2013-10-10,TY,TYH2014,124.65625
2013-10-10,TY,TYM2014,124.65625
2013-10-11,TU,TUH2014,109.8984375
2013-10-11,TU,TUM2014,109.71875
2013-10-11,FV,FVH2014,120.1484375
2013-10-11,FV,FVM2014,120.1484375
2013-10-11,TY,TYH2014,124.78125
2013-10-11,TY,TYM2014,124.78125
2013-10-14,TU,TUH2014,109.84375
2013-10-14,TU,TUM2014,109.6640625
2013-10-14,FV,FVH2014,119.9921875
2013-10-14,FV,FVM2014,119.9921875
2013-10-14,TY,TYH2014,124.59375
2013-10-14,TY,TYM2014,124.59375
2013-10-15,TU,TUH2014,109.875
2013-10-15,TU,TUM2014,109.6953125
2013-10-15,FV,FVH2014,120.0625
2013-10-15,FV,FVM2014,120.0625
2013-10-15,TY,TYH2014,124.515625
2013-10-15,TY,TYM2014,124.515625
2013-10-16,TU,TUH2014,109.921875
2013-10-16,TU,TUM2014,109.7421875
2013-10-16,FV,FVH2014,120.2578125
2013-10-16,FV,FVM2014,120.2578125
2013-10-16,TY,TYH2014,124.921875
2013-10-16,TY,TYM2014,124.921875
2013-10-17,TU,TUH2014,109.9375
2013-10-17,TU,TUM2014,109.7578125
2013-10-17,FV,FVH2014,120.609375
2013-10-17,FV,FVM2014,120.609375
2013-10-17,TY,TYH2014,125.6875
2013-10-17,TY,TYM2014,125.6875
2013-10-18,TU,TUH2014,109.9453125
2013-10-18,TU,TUM2014,109.765625
2013-10-18,FV,FVH2014,120.53125
2013-10-18,FV,FVM2014,120.53125
2013-10-18,TY,TYH2014,125.59375
2013-10-18,TY,TYM2014,125.59375
2013-10-21,TU,TUH2014,109.921875
2013-10-21,TU,TUM2014,109.7421875
2013-10-21,FV,FVH2014,120.4375
2013-10-21,FV,FVM2014,120.4375
2013-10-21,TY,TYH2014,125.4375
2013-10-21,TY,TYM2014,125.4375
2013-10-22,TU,TUH2014,109.984375
2013-10-22,TU,TUM2014,109.8046875
2013-10-22,FV,FVH2014,120.8125
2013-10-22,FV,FVM2014,120.8125
2013-10-22,TY,TYH2014,126.25
2013-10-22,TY,TYM2014,126.25
2013-10-23,TU,TUH2014,109.9609375
2013-10-23,TU,TUM2014,109.78125
2013-10-23,FV,FVH2014,120.8515625
2013-10-23,FV,FVM2014,120.8515625
2013-10-23,TY,TYH2014,126.421875
2013-10-23,TY,TYM2014,126.421875
2013-10-24,TU,TUH2014,109.9453125
2013-10-24,TU,TUM2014,109.765625
2013-10-24,FV,FVH2014,120.71875
2013-10-24,FV,FVM2014,120.71875
2013-10-24,TY,TYH2014,126.15625
2013-10-24,TY,TYM2014,126.15625
2013-10-25,TU,TUH2014,109.96875
2013-10-25,TU,TUM2014,109.7890625
