Ticker,Bond_ID,CF,Year
FVU2021,US91282CBH34,0.7881,2021
FVZ2021,US91282CBW01,0.8022,2021
TUH2021,US9128284D91,0.935,2021
TUM2021,US9128284S60,0.9419,2021
TUU2021,US9128285D82,0.9419,2021
TUZ2021,US9128285P13,0.9442,2021
TYM2021,US9128285M81,0.8329,2021
TYU2021,US9128286B18,0.8039,2021
TYZ2021,US9128286T26,0.7894,2021
FVH2021,US91282CAJ09,0.7798,2021
FVM2021,US91282CAZ41,0.7846,2021
FVU2021,US91282CBQ33,0.7893,2021
FVZ2021,US91282CCF68,0.7989,2021
TUH2021,US912828YW42,0.9283,2021
TUM2021,US9128284U17,0.9373,2021
TUU2021,US912828Y610,0.9443,2021
TUZ2021,US9128285U08,0.9373,2021
TYM2021,US9128286B18,0.7985,2021
TYU2021,US9128286T26,0.7836,2021
TYZ2021,US912828YB05,0.7389,2021
FVH2021,US91282CAM38,0.7761,2021
FVM2021,US91282CBC47,0.781,2021
FVU2021,US91282CBT71,0.7956,2021
FVZ2021,US91282CCJ80,0.8005,2021
TUH2021,US912828Z294,0.9229,2021
TUM2021,US912828ZD51,0.9099,2021
TUU2021,US912828ZU76,0.9058,2021
TUZ2021,US91282CAK71,0.9038,2021
TYM2021,US9128286T26,0.7779,2021
TYU2021,US912828YB05,0.732,2021
TYZ2021,US912828YS30,0.7396,2021
FVH2021,US91282CAT80,0.7725,2021
FVM2021,US91282CBH34,0.7775,2021
FVU2021,US91282CBW01,0.7923,2021
FVZ2021,US91282CCP41,0.7874,2021
TUH2021,US912828Z864,0.9174,2021
TUM2021,US912828ZH65,0.9016,2021
TUU2021,US912828ZY98,0.8994,2021
TUZ2021,US91282CAP68,0.8994,2021
TYM2021,US912828YB05,0.7252,2021
TYU2021,US912828YS30,0.7331,2021
TYZ2021,US912828Z948,0.7174,2021
FVH2021,US91282CAZ41,0.774,2021
FVM2021,US91282CBQ33,0.779,2021
FVU2021,US91282CCF68,0.789,2021
FVZ2021,US91282CCW91,0.789,2021
TUH2021,US912828ZD51,0.8978,2021
TUM2021,US912828ZP81,0.8951,2021
TUU2021,US91282CAF86,0.8951,2021
TUZ2021,US91282CAW10,0.8973,2021
TYM2021,US912828YS30,0.7266,2021
TYU2021,US912828Z948,0.7105,2021
TYZ2021,US912828ZQ64,0.6542,2021
FVH2021,US91282CBC47,0.7705,2021
FVM2021,US91282CBT71,0.7858,2021
FVU2021,US91282CCJ80,0.7909,2021
FVZ2021,US91282CCZ23,0.7909,2021
TUH2021,US91282CBD20,0.9038,2021
TUM2021,US912828ZU76,0.8931,2021
TUU2021,US91282CAK71,0.8908,2021
TUZ2021,US91282CBA80,0.8908,2021
TYM2021,US912828Z948,0.7038,2021
TYU2021,US912828ZQ64,0.6462,2021
TYZ2021,US91282CAE12,0.6462,2021
FVH2021,US91282CBH34,0.767,2021
FVM2021,US91282CBW01,0.7825,2021
FVU2021,US91282CCP41,0.7773,2021
FVZ2021,US91282CDG33,0.798,2021
TUH2021,US91282CBG50,0.8994,2021
TUM2021,US91282CBU45,0.9038,2021
